Starting audit...
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/connect/VConnect.java:151: Found duplicate of 13 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/connect/VConnect.java, starting from line 167
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/part/PartRCPView.java:37: Found duplicate of 16 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/connect/ConnectRCPView.java, starting from line 85
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/time/TimeRCPView.java:26: Found duplicate of 14 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/plot/PlotRCPView.java, starting from line 31
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetCore/src/org/mwc/asset/netCore/core/MClient.java:49: Found duplicate of 13 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetCore/src/org/mwc/asset/netCore/core/AServer.java, starting from line 63
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetCore/src/org/mwc/asset/netCore/core/MClient.java:84: Found duplicate of 14 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetCore/src/org/mwc/asset/netCore/core/AServer.java, starting from line 80
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetCore/src/org/mwc/asset/netCore/test/CoreTest.java:68: Found duplicate of 12 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetCore/src/org/mwc/asset/netCore/test/CoreTest.java, starting from line 105
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.ScenarioController2/src/org/mwc/asset/scenariocontroller2/MultiScenarioPresenter.java:797: Found duplicate of 34 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.ScenarioController2/src/org/mwc/asset/scenariocontroller2/MultiScenarioPresenter.java, starting from line 858
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.ScenarioController2/src/org/mwc/asset/scenariocontroller2/views/UISkeleton2.java:32: Found duplicate of 21 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.ScenarioController2/src/org/mwc/asset/scenariocontroller2/views/UISkeleton.java, starting from line 52
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.ScenarioPlotter/src/org/mwc/asset/scenarioplotter/Activator.java:31: Found duplicate of 31 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/Activator.java, starting from line 58
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.SensorMonitor/src/org/mwc/asset/sensormonitor/Activator.java:21: Found duplicate of 17 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.ScenarioPlotter/src/org/mwc/asset/scenarioplotter/Activator.java, starting from line 14
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.SensorMonitor/src/org/mwc/asset/sensormonitor/Activator.java:53: Found duplicate of 31 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.NetAsset2/src/org/mwc/asset/netasset2/Activator.java, starting from line 58
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.SensorMonitor/src/org/mwc/asset/sensormonitor/Activator.java:53: Found duplicate of 31 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.ScenarioPlotter/src/org/mwc/asset/scenarioplotter/Activator.java, starting from line 31
/home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.VesselMonitor/src/org/mwc/asset/vesselmonitor/Activator.java:14: Found duplicate of 17 lines in /home/dashaa/ODeskJobs/PlanteMayoLtd/debrief_daria/trunk/org.mwc.asset.SensorMonitor/src/org/mwc/asset/sensormonitor/Activator.java, starting from line 21
