178465000,0
178525000,1.08
178585000,2.16
178645000,3.24
178705000,4.32
178765000,5.4
178825000,6.48
178885000,7.56
178945000,8.64
179005000,9.72
179065000,10.8
179125000,11.88
179185000,12.96
179245000,14.04
179305000,15.12
179365000,16.2
179425000,17.28
179485000,18.36
179545000,19.44
179605000,20.52
179665000,21.6
179725000,22.68
179785000,23.76
179845000,24.84
179905000,25.92
179965000,27
180025000,28.08
180085000,29.16
180145000,30.24
180205000,31.32
180265000,32.4
180325000,33.48
180385000,34.56
180445000,35.64
180505000,36.72
180565000,37.8
180625000,38.88
180685000,39.96
180745000,41.04
180805000,42.12
180865000,43.2
180925000,44.28
180985000,45.36
181045000,46.44
181105000,47.52
181165000,48.6
181225000,49.68
181285000,50.76
181345000,51.84
181405000,52.92
181465000,54
181525000,55.08
181585000,56.16
181645000,57.24
181705000,58.32
181765000,59.4
181825000,60.48
181885000,61.56
181945000,62.64
182005000,63.72
182065000,64.8
182125000,65.88
182185000,66.96
182245000,68.04
182305000,69.12
182365000,70.2
182425000,71.28
182485000,72.36
182545000,68.16
182605000,63.96
182665000,59.76
182725000,55.56
182785000,51.36
182845000,47.16
182905000,42.96
182965000,38.76
183025000,34.56
183085000,30.36
183145000,26.16
183205000,21.96
183265000,17.76
183325000,13.56
183385000,9.36
183445000,5.16
183505000,0.96
183565000,0
183625000,0.36
183685000,0.72
183745000,1.08
183805000,1.44
183865000,1.8
183925000,2.16
183985000,2.556
184045000,2.988
184105000,3.456
184165000,3.96
184225000,4.5
184285000,5.076
184345000,5.688
184405000,6.336
184465000,7.02
184525000,7.74
184585000,8.496
184645000,9.288
184705000,10.125
184765000,10.998
184825000,11.916
184885000,12.879
184945000,13.896
185005000,14.958
185065000,16.074
185125000,17.244
185185000,18.477
185245000,19.773
185305000,21.123
185365000,22.473
185425000,23.823
185485000,25.173
185545000,26.523
185605000,27.873
185665000,29.223
185725000,30.573
185785000,31.923
185845000,33.273
185905000,34.623
185965000,35.973
186025000,37.323
186085000,38.673
186145000,40.023
186205000,41.373
186265000,42.723
186325000,44.073
186385000,39.873
186445000,35.673
186505000,31.473
186565000,27.273
186625000,23.073
186685000,18.873
186745000,19.971
186805000,21.015
186865000,22.005
186925000,22.95
186985000,23.85
187045000,24.705
187105000,25.56
187165000,26.415
187225000,27.27
187285000,28.125
187345000,28.98
187405000,29.835
187465000,30.69
187525000,31.545
187585000,32.4
187645000,33.255
187705000,34.11
187765000,34.965
187825000,35.82
187885000,36.675
187945000,37.566
188005000,38.502
188065000,39.483
188125000,40.518
188185000,41.607
188245000,42.75
